Abbreviation,Description,Source,Begin,End,Publication Lag
CPI,Consumer Price Index all urban consumers (NSA),FRED,01/01/1913,01.10.2014,1
PCPIX,Core Consumer Price Index (NSA),FRED,01/01/1957,01/10/2014,1
PPI,Producer Price Index (Finished Goods) (NSA),BLS,01/01/1947,01/10/2014,1
PPPIX,Core Producer Price Index (Finished Goods) (NSA),BLS,01/01/1973,01/10/2014,1
CPI-SA,Consumer Price Index all urban consumers (SA),Shiller,01.01.1871,01.10.2014,1
PCPIX-SA,Core Consumer Price Index (SA),FRED,01/01/1957,01/10/2014,1
PPI-SA,Producer Price Index (Finished Goods) (SA),FRED,01/04/1947,01/10/2014,1
PPPIX-SA,Core Producer Price Index (Finished Goods) (SA),FRED,01/01/1974,01/10/2014,1
SP500,Nominal S&P 500 Index,Shiller,01.01.1871,01.10.2014,0
DIV,S&P 500 Dividends,Shiller,01.01.1871,01.09.2014,1
EAR,S&P 500 Earnings,Shiller,01.01.1871,01.06.2014,4
DY,"S&P 500, Index, Dividend Yield, Average of Period",MacroBond,01.01.1871,01.10.2014,0
PE,"S&P 500, Index, P/E Ratio, Average of Period",MacroBond,01.01.1871,01.10.2014,0
HPI,Nominal House Price Index,Shiller,01.01.1953,01.08.2014,2
FEDFUNDS,Effective Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
TB3MS,3-Month Treasury Bill: Secondary Market Rate,FRED,01.01.1934,01.10.2014,0
TB3SMFFM,3-Month Treasury Bill Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
TB6MS,6-Month Treasury Bill: Secondary Market Rate,FRED,01.12.1958,01.10.2014,0
TB6SMFFM,6-Month Treasury Bill Minus Federal Funds Rate,FRED,01.12.1958,01.10.2014,0
GS1,1-Year Treasury Constant Maturity Rate,FRED,01.04.1953,01.10.2014,0
T1YFFM,1-Year Treasury Constant Maturity Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
GS5,5-Year Treasury Constant Maturity Rate,FRED,01.04.1953,01.10.2014,0
T5YFFM,5-Year Treasury Constant Maturity Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
GS10Y,10-Year Government Bond Interest Rate,Shiller,01.01.1871,01.10.2014,0
T10YFFM,10-Year Treasury Constant Maturity Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
AAA,Moody's Seasoned Aaa Corporate Bond Yield,FRED,01.01.1919,01.10.2014,0
AAAFFM,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
BAA,Moody's Seasoned Baa Corporate Bond Yield,FRED,01.01.1919,01.10.2014,0
BAAFFM,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate,FRED,01.07.1954,01.10.2014,0
CPNF3M,3-Month AA Nonfinancial Commercial Paper Rate,MacroBond,01.01.1871,01.10.2014,0
TWEXMMTH,Trade Weighted U.S. Dollar Index: Major Currencies,FRED,01.01.1973,01.10.2014,0
EXCAUS,Canada / U.S. Foreign Exchange Rate,FRED,01.01.1971,01.10.2014,0
EXJPUS,Japan / U.S. Foreign Exchange Rate,FRED,01.01.1971,01.10.2014,0
EXSZUS,Switzerland / U.S. Foreign Exchange Rate,FRED,01.01.1971,01.10.2014,0
EXUSUK,U.S. / U.K. Foreign Exchange Rate,FRED,01.01.1971,01.10.2014,0
OILPRICE,Spot Oil Price: West Texas Intermediate,FRED,01.01.1946,01.07.2013,0
MCOILWTICO,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",FRED,01.01.1986,01.10.2014,0
OILAVG,"Crude Oil, Average of U.K. Brent, Dubai & West Texas Intermediate, End of Period, USD",MacroBond,01.01.1957,01.10.2014,0
NONENERG,"Commodity Indices, World Bank, Non-Energy Index, End of Period, USD",MacroBond,01/01/1960,01.10.2015,0
METAL,"Commodity Indices, World Bank, Metals & Minerals Index, End of Period, USD",MacroBond,02/01/1960,01.10.2016,0
FOOD,"Commodity Indices, World Bank, Food Index, End of Period, USD",MacroBond,03/01/1960,01.10.2017,0
ENERG,"Commodity Indices, World Bank, Energy Index, End of Period, USD",MacroBond,04/01/1960,01.10.2018,0
NAPM,ISM Manufacturing: PMI Composite Index,FRED,01.01.1948,01.10.2014,1
