Variables ->;IndComb;IndPSY13;IndPWY11rec;IndPWY11rol;IndHP
1959M01;0;NaN;NaN;NaN;0
1959M02;0;NaN;NaN;NaN;0
1959M03;0;NaN;NaN;NaN;0
1959M04;0;NaN;NaN;NaN;0
1959M05;0;NaN;NaN;NaN;0
1959M06;0;NaN;NaN;NaN;0
1959M07;0;NaN;NaN;NaN;0
1959M08;0;NaN;NaN;NaN;0
1959M09;0;NaN;NaN;NaN;0
1959M10;0;NaN;NaN;NaN;0
1959M11;0;NaN;NaN;NaN;0
1959M12;0;NaN;NaN;NaN;0
1960M01;0;NaN;NaN;NaN;0
1960M02;0;NaN;NaN;NaN;0
1960M03;0;NaN;NaN;NaN;0
1960M04;0;NaN;NaN;NaN;0
1960M05;0;NaN;NaN;NaN;0
1960M06;0;NaN;NaN;NaN;0
1960M07;0;NaN;NaN;NaN;0
1960M08;0;NaN;NaN;NaN;0
1960M09;0;NaN;NaN;NaN;0
1960M10;0;NaN;NaN;NaN;0
1960M11;0;NaN;NaN;NaN;0
1960M12;0;NaN;NaN;NaN;0
1961M01;0;NaN;NaN;NaN;0
1961M02;0;NaN;NaN;NaN;0
1961M03;0;NaN;NaN;NaN;0
1961M04;0;NaN;NaN;NaN;0
1961M05;0;NaN;NaN;NaN;0
1961M06;0;NaN;NaN;NaN;0
1961M07;0;NaN;NaN;NaN;0
1961M08;0;NaN;NaN;NaN;0
1961M09;0;NaN;NaN;NaN;0
1961M10;0;NaN;NaN;NaN;0
1961M11;0;NaN;NaN;NaN;0
1961M12;0;NaN;NaN;NaN;0
1962M01;0;NaN;NaN;NaN;0
1962M02;0;NaN;NaN;NaN;0
1962M03;0;NaN;NaN;NaN;0
1962M04;0;NaN;NaN;NaN;0
1962M05;0;NaN;NaN;NaN;0
1962M06;0;NaN;NaN;NaN;0
1962M07;0;NaN;NaN;NaN;0
1962M08;0;NaN;NaN;NaN;0
1962M09;0;NaN;NaN;NaN;0
1962M10;0;NaN;NaN;NaN;0
1962M11;0;NaN;NaN;NaN;0
1962M12;0;NaN;NaN;NaN;0
1963M01;0;NaN;NaN;NaN;0
1963M02;0;NaN;NaN;NaN;0
1963M03;0;NaN;NaN;NaN;0
1963M04;0;NaN;NaN;NaN;0
1963M05;0;0;0;NaN;0
1963M06;0;0;0;NaN;0
1963M07;0;0;0;NaN;0
1963M08;0;0;0;NaN;0
1963M09;0;0;0;NaN;0
1963M10;0;0;0;NaN;0
1963M11;0;0;0;NaN;0
1963M12;0;0;0;NaN;0
1964M01;0;0;0;NaN;0
1964M02;0;0;0;NaN;0
1964M03;0;0;0;NaN;0
1964M04;0;0;0;NaN;0
1964M05;0;0;0;NaN;0
1964M06;0;0;0;NaN;0
1964M07;0;0;0;NaN;0
1964M08;0;0;0;NaN;0
1964M09;0;0;0;NaN;0
1964M10;0;0;0;NaN;0
1964M11;0;0;0;NaN;0
1964M12;0;0;0;NaN;0
1965M01;0;0;0;NaN;0
1965M02;0;0;0;NaN;0
1965M03;0;0;0;NaN;0
1965M04;0;0;0;NaN;0
1965M05;0;0;0;NaN;0
1965M06;0;0;0;NaN;0
1965M07;0;0;0;NaN;0
1965M08;0;0;0;NaN;0
1965M09;0;0;0;NaN;0
1965M10;0;0;0;NaN;0
1965M11;0;0;0;NaN;0
1965M12;0;0;0;NaN;0
1966M01;0;0;0;NaN;0
1966M02;0;0;0;NaN;0
1966M03;0;0;0;NaN;0
1966M04;0;0;0;NaN;0
1966M05;0;0;0;NaN;0
1966M06;0;0;0;NaN;0
1966M07;0;0;0;NaN;0
1966M08;0;0;0;NaN;0
1966M09;0;0;0;NaN;0
1966M10;0;0;0;NaN;0
1966M11;0;0;0;NaN;0
1966M12;0;0;0;NaN;0
1967M01;0;0;0;NaN;0
1967M02;0;0;0;NaN;0
1967M03;0;0;0;NaN;0
1967M04;0;0;0;NaN;0
1967M05;0;0;0;NaN;0
1967M06;0;0;0;NaN;0
1967M07;0;0;0;NaN;0
1967M08;0;0;0;NaN;0
1967M09;0;0;0;NaN;0
1967M10;0;0;0;NaN;0
1967M11;0;0;0;NaN;0
1967M12;0;0;0;NaN;0
1968M01;0;0;0;NaN;0
1968M02;0;0;0;NaN;0
1968M03;0;0;0;NaN;0
1968M04;0;0;0;NaN;0
1968M05;0;0;0;NaN;0
1968M06;0;0;0;NaN;0
1968M07;0;0;0;NaN;0
1968M08;0;0;0;NaN;0
1968M09;0;0;0;NaN;0
1968M10;0;0;0;NaN;0
1968M11;0;0;0;NaN;0
1968M12;0;0;0;NaN;0
1969M01;0;0;0;NaN;0
1969M02;0;0;0;NaN;0
1969M03;0;0;0;NaN;0
1969M04;0;0;0;NaN;0
1969M05;0;0;0;NaN;0
1969M06;0;0;0;NaN;0
1969M07;0;0;0;NaN;0
1969M08;0;0;0;NaN;0
1969M09;0;0;0;NaN;0
1969M10;0;0;0;NaN;0
1969M11;0;0;0;NaN;0
