"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1",-74.1811064358101,-3.78216470889032,-115.403633042048,-100.938027988859,-298.899781112815,-300.945024073901,-260.597679385683,-64.7603455460798,-49.4703424306346,-18.4922954105765,-230.262917189173,-583.182195471569,-161.470081637643,-211.295139847436,-33.6527613537495,-88.2243248186695,-43.1231803593561,-117.789178211454,-66.0223478241254,-81.0086294827559,-72.1342954662444,-195.694561984181,-75.6274053200455,-250.542896223853,-70.0682632422168,-241.263001305402,-73.8057768357023,-376.673752248462,-96.0668257113072,-24.3897062767227,-21.4012326068963,-21.1061573696236,-33.6262808816858,-12.3182634989816,-12.3223450571636,-177.170605639179,-86.4246257605954,-223.475227596739,-18.6866950089651,-45.3750268642488,-60.39160652945,-641.881470396598,-69.0113322011143,-74.601251344418,-22.3359502782982,-115.696812022643,-175.678535781811,-28.7843576055447,-162.564180762334,-81.4704447549708,-708.484825444796,-697.626749735367,-513.368306200283,-64.4789142563097,-79.4215595232559,-63.2610729837516,-356.677600818438,-439.961212807924,-203.538975197188,-178.576228365711,-62.413144902201,-65.6254259539032,-161.173294006206,-169.69026945376,-40.2793151631683,-136.570914012863,-111.134275027739,-4.73907351800308,-635.517421985936,-569.315296428471,-118.01491595153,-90.5893054932671,-417.538610539148,-426.48988721398,-62.7243555817168,-158.719974122554,-55.6847732177807,-105.106374606183,-41.7402491316426,-514.76114619559,-385.841621656994,-275.373071306314,-590.990902660828,-69.7378078147163,-51.0188353189166,-54.67875481318,-26.8358005831871,-73.55467881696,-55.4144487964333,-134.873836864466
"2",-40.9976934261426,-25.3076219009487,-121.550933771863,-80.975479279325,-333.109692162451,-334.840370677232,-333.497781591299,-64.0335240917894,-50.7154773930396,-61.8057885829125,-222.926461191228,-599.186624920508,-86.7072236328466,-317.134248133214,-42.0049060923913,-76.4570991852253,-48.528896842182,-106.824004961173,-76.6519004312681,-85.1958440552934,-75.4377196960248,-341.628518027156,-73.4764314476274,-322.323947885287,-59.9062458028283,-225.135717402027,-52.5503651541638,-500.528031765608,-137.06820216829,-10.4416033228852,-5.63335812068817,-22.4505192963257,-17.4197770210677,-11.2565085463603,-2.39893726209266,-176.503079650107,-99.6026136530176,-212.701697731707,-22.3415567930291,-42.8833453822845,-76.0985619121242,-667.815232268738,-88.1170253495794,-96.221199109563,-45.8695547381532,-228.94758714681,-178.742885737872,-81.8843701230839,-147.027339766915,-90.1544957861317,-714.775942868946,-703.726223560081,-520.136011513072,-66.0335245822295,-84.2238435862384,-98.7410286777077,-372.098344237682,-451.616718555939,-194.589982385844,-183.495100202782,-78.3815643929497,-77.2930305751215,-152.411979723644,-169.967531592404,-49.4205415107857,-105.685522635121,-111.87535183108,-57.0331453434919,-633.323867468997,-578.47319059558,-112.249661949763,-99.6958463642997,-398.8455775883,-423.955907192935,-93.3777516071213,-163.641531723074,-35.3911051195002,-101.552211730183,-21.9463554677164,-511.81910948505,-400.032085822886,-275.49027438693,-586.015788450364,-92.9168453188028,-79.9781049656595,-69.7066244831143,-27.3797597334002,-77.4761668836253,-76.9313119444377,-131.494122074819
"3",-31.3440384093075,-53.4653558972082,-111.190912109241,-62.9034101925963,-343.666190669275,-345.485727128425,-325.156578441625,-63.8645716671133,-41.22582187894,-48.5766616189462,-179.918574050492,-598.109874232895,-50.9413647198621,-377.289201119319,-37.4690874197811,-56.5951524797165,-48.1335665311876,-67.1264174516207,-81.7337309504515,-73.6396155093281,-75.1195311802237,-401.591969211273,-72.3907331056177,-315.280722526827,-59.63813445003,-241.826796063112,-40.2275528452573,-576.947790291735,-60.6801587646979,1.01891567908503,-0.314704155640307,-10.2142061883895,6.28670823555288,2.19905044286636,12.4467936651057,-171.673529249451,-86.9959856121716,-204.833078424527,4.38336145801864,-42.2481867662742,-75.689717161327,-670.694674164933,-93.2172196845064,-90.5549214764741,-21.1504786292351,-188.228456828464,-189.179028681427,-27.3290210632848,-139.288720208338,-62.1463320943583,-717.312956862084,-704.87508709403,-520.029430182686,-34.9056725046342,-83.7739907845096,-99.7518099165056,-377.395422610701,-456.404081896125,-195.484025272324,-183.068218820901,-80.1615279469595,-80.9158615424886,-147.272816892313,-173.440959218853,-77.6103318954216,-100.870979228874,-96.4087882338929,-79.3321257182334,-626.188923497921,-580.333016169004,-97.7778460755062,-98.8109102729113,-384.730874403044,-420.692802359735,-94.4435595583244,-165.318722387047,-34.4231035108179,-99.6811406016861,-45.0571349457236,-558.446263319849,-396.269885453906,-262.383184950808,-585.407885000749,-101.863089050043,-89.2535003360338,-70.2767151058448,-31.2695056057215,-76.7274828162142,-82.5156421093973,-144.102017146706
"4",-37.9352032582988,-12.5716262652515,-90.0444207007311,-76.8796206119525,-333.201687428998,-335.896019288652,-298.980446436496,-52.6330362965735,-36.7426196527284,-29.1333094184613,-138.60757584524,-597.935060578764,-65.0191625606445,-338.927434336905,-34.8795807939778,-35.3420204008526,-48.1103980177636,-30.1568374023008,-80.3745823443529,-78.1521090870589,-75.6456114824851,-315.056145762385,-70.7235128475881,-222.802626290362,-63.8014288033642,-233.537330626348,-29.1983030404846,-541.526528310785,-52.7936338710955,6.01952221551678,-3.46702733327631,-13.4298196571734,5.30996486329411,7.73950602986329,-13.2429961425836,-168.650627410344,-61.4232179263962,-204.752545649233,-4.92036803161895,-29.6599702979693,-63.1812299678413,-672.92693201997,-94.1024257033982,-108.859605495689,-39.2385720860434,-184.765295071946,-175.763914358778,-31.4054296010775,-154.798477553997,-58.9695907795867,-715.211560424066,-702.246058092722,-519.83456753938,-23.9777363034641,-61.2771513171592,-79.9367928697964,-375.019021092176,-457.921986707953,-178.193584660615,-177.270572972672,-73.9217768224753,-78.2203024563364,-152.584157648015,-170.608324508261,-111.385626655905,-132.900472407859,-90.9839120732629,-64.316950767212,-626.780567376166,-581.113446139425,-68.6079485657079,-89.022339505777,-388.180770293973,-422.591693539121,-96.0413844167609,-165.316204608002,-39.0167955910786,-104.528342559978,-76.2824907176704,-588.226062763032,-385.296365070155,-250.741904920624,-590.360103059141,-91.2325557471579,-88.6231563887966,-67.8512538352448,-37.6283054014854,-74.611225829978,-84.0680317797936,-144.002915972947
"5",-9.68479349026029,-35.2725512571083,-92.0417544839928,-93.3824955465772,-342.607329555395,-344.810432549893,-330.129593502999,-56.1399359451601,-46.3041325797271,-45.4879651672977,-194.156186506001,-597.533893081755,-94.2961177436434,-340.643984291645,-48.4620787621708,-97.0749192321074,-50.6432715376861,-76.520147982652,-85.1312334035308,-146.378149718432,-68.3970729662866,-309.336262541241,-54.5777859133419,-248.277758537515,-47.0883764421215,-244.469189322411,-1.9320869321669,-533.872820767214,-108.798255488846,-43.507672717539,-30.0376956048786,-42.2729236594426,-39.7185727897268,-20.6691187903613,-24.6177279603959,-169.259954243005,-64.6860955251068,-191.338534631043,-30.937179620186,-30.2480892047369,-28.2281301773329,-666.61005033716,-105.42361612446,-101.015329179226,-26.0385581562953,-177.631148161945,-170.52794039959,-73.8740375585784,-151.925367537392,-69.5532419698914,-714.38880525838,-701.570624770317,-518.287914092076,-50.8186936884642,-64.7802958630724,-96.6405016699087,-374.053815667938,-452.021887457847,-173.151902768908,-168.128127732589,-81.2064780057335,-76.9303176672701,-151.350819315469,-161.926199513596,-107.771238578232,-130.007598780979,-88.7883618815097,-71.2866071004395,-625.80634984045,-578.804986157847,-43.045207072409,-89.4678936216201,-404.0138184909,-426.471628713372,-83.447029168902,-164.179662754517,-10.6969452540699,-88.2118666187111,-62.5012248287402,-583.37829173725,-392.791747107458,-262.473347791888,-588.617676933924,-94.565490483857,-89.261318924849,-80.8669396611247,-65.4399305693821,-75.1084851150074,-74.8385507684163,-130.11508201767
"6",-35.4940466644655,-19.673731820257,-106.172800506439,-97.8497418931446,-345.063275337995,-348.560947266034,-348.841535452182,-64.9583274390889,-41.8914955555466,-54.4705108159622,-127.935690218647,-579.788534158894,-34.8970503727776,-394.13990441891,-63.2984141239296,-43.3133291063114,-57.5459747310439,-37.5694537468816,-92.3274478338968,-84.6479180612342,-58.5895220591127,-375.68690063643,-38.7397939996669,-310.345674728789,-29.1195650243317,-252.768127690203,-27.2372338810017,-586.068442064523,-77.0255146483161,0.455491764705446,-2.10969317259226,-4.05736724295479,-13.637870242219,0.317493575555666,-10.2374932265485,-152.194766806887,-90.7622826273642,-216.485386287871,-24.1348779216354,-37.7497543036566,-45.9655613115508,-655.279800030178,-111.058906827924,-105.348918092962,-60.5897475441614,-206.463603600302,-178.222548613515,-63.8420101377658,-123.672192524754,-85.8305056618446,-714.302393248889,-701.849143951468,-517.242144026025,-73.8466138581706,-79.4165961886944,-107.327791868452,-366.708764217966,-439.693842580149,-206.017885929674,-178.327793193894,-91.5106718110276,-79.7441309050879,-141.291959434479,-160.625240870557,-102.425081242947,-137.243259827176,-79.4492709412388,-70.853373426082,-621.701065022224,-577.631896470302,-59.5160871921279,-99.0820183140547,-354.623858028995,-408.849119596854,-68.2790195753369,-163.771176263923,-23.6688811113115,-68.3424612856283,-40.3406668085078,-572.238700872307,-401.944706170202,-271.439944092007,-586.859043917784,-106.836350417929,-93.9128598976253,-91.1422064159231,-99.2164041922927,-76.9708643897811,-65.2022872935662,-124.677164741479
"7",-16.5216163577797,-25.8414714216031,-105.309996865946,-80.187603884729,-354.359753572182,-357.129568249129,-351.424642599278,-65.8445457732685,-43.4471732397308,-55.0947906565205,-91.7482668701283,-569.990932383421,-17.0248269236036,-415.73959037191,-73.247815127522,-55.5172227494281,-59.8288157713428,-23.9607127742137,-91.5530675119668,-74.9675620895078,-44.9317413162099,-417.845289759575,-23.9364693777652,-347.811071138402,-21.839661652536,-232.169637655331,-29.8356745859459,-598.353939073938,-76.9425743769185,-7.8171617786423,-11.0813052956459,-6.06263354507397,-7.79027864179728,-9.82595894116742,-17.8048193180613,-127.859277513867,-80.0640997604784,-225.376080814312,-13.354583710909,-23.5085637401852,-61.7809908170923,-659.455343726308,-113.91615220162,-107.343104054182,-38.8627362046327,-190.596753219446,-172.520149249253,-75.0959408960412,-91.491437314313,-70.043605196485,-707.097091097692,-697.024092008757,-514.67426413096,-77.7212586812737,-70.6116671293603,-102.270173847583,-369.70626864251,-443.63169788653,-198.802862450822,-179.296327919297,-92.5912919764597,-79.573769199764,-118.907540654124,-166.165776744177,-107.182557727133,-133.089838182122,-84.588917282595,-69.8433658865996,-619.503880605275,-575.052335637705,-68.7231734975337,-99.0678268857467,-332.675162348013,-405.879565156799,-69.2495365786414,-163.288379181784,-11.7101453577092,-69.9581141594581,-43.9186061784028,-581.861562413534,-401.918444531699,-235.128759566422,-585.11857177154,-108.07331368209,-95.5090734939813,-91.8835516038398,-105.390753148018,-76.4851832118697,-64.5622126560405,-129.619045274053
"8",-41.799278754356,-23.4733563632078,-111.905992755023,-72.4992289079184,-360.981831475569,-363.502450610794,-350.884918413189,-64.5529793062466,-49.3608381389412,-66.5910625145608,-120.726722503215,-594.723972996861,-24.2942884653676,-441.173934758745,-88.1196684728938,-46.1372587366756,-65.2478393355385,-29.1974692976298,-90.9638895193079,-48.0361883729795,-23.3564262523159,-454.043540138816,-6.25256902156212,-357.880808124677,-7.65662060229656,-216.197880647595,-46.7546858419433,-604.369170236631,-11.9018292762606,-4.10563199616482,-5.29354879913953,-12.4190708695408,-13.3572643452867,-3.23111762795461,-26.6553592030518,-132.102082248543,-83.391851328428,-226.642220095388,-34.3504388827385,-40.3224352139651,-74.1510639992347,-666.647068177503,-111.86007222442,-104.536477268527,-63.1892351580072,-223.127034755455,-144.948752967019,-58.9270713383818,-133.428914574068,-80.1398243752712,-702.046984817711,-692.272242706742,-510.709906230187,-82.2751262298569,-76.6647864622763,-111.162547985559,-373.614198021144,-451.356481889454,-201.962637939534,-169.040213365474,-94.0431666468916,-75.4117878582228,-148.821994966347,-161.548709306542,-105.45731286536,-131.149795621122,-72.5434187435537,-69.8528208049186,-613.851138188468,-572.289272513851,-81.131535629176,-106.624337234023,-349.229204807118,-415.597681133761,-59.0609863901417,-161.591420129046,-27.6053333535588,-69.6409888047528,-58.3715770731873,-588.215666525703,-386.236779768771,-204.743555946138,-583.004138150694,-112.65381569464,-94.4688779026446,-93.4900781969316,-112.236569078932,-64.3035872372574,-67.2733480279418,-119.25580049727
"9",-37.1677651916508,-9.74543182462288,-109.537948436843,-87.1922877697861,-364.133373552509,-366.242210085358,-348.039668066591,-61.4585194904077,-51.6541328461317,-80.7634826184148,-140.95421258725,-596.513081086209,-30.709197610646,-419.470481237704,-93.372594167986,-81.8797366247864,-66.4714859001613,-12.5245791090666,-78.4083527926811,-3.8567341913997,-1.02651004723655,-381.562900962688,-0.331694614567372,-317.042431930454,-4.38189044597831,-167.670384881359,-57.809475447455,-565.894552686265,-6.74242250310451,-15.6035958274829,-6.96466612681594,-6.85551111292476,-6.30029247413098,-3.70295759892633,-32.5546309276729,-170.238586329413,-84.303733863356,-226.819150630887,-23.9457604125849,-36.7661622884112,-85.2515991881122,-659.527120845333,-107.79062168451,-104.108800311837,-53.4761915772169,-206.486500665631,-143.906273741662,-41.3326260542029,-158.596385348664,-79.6401086175699,-691.83419682985,-681.460522100745,-504.651681116134,-78.9401630050899,-70.679983382735,-119.098199183844,-373.524092514337,-450.916395168182,-194.373339775699,-164.909795811674,-94.2037521227781,-70.0968362391027,-165.011153678694,-150.963893258897,-78.2208813442386,-137.300412969165,-26.4990584071951,-60.4463715374123,-616.339447223494,-570.106111047128,-95.6527789417173,-107.569199475098,-380.144095680454,-415.745500243532,-37.6033672218989,-160.442074929565,-8.43160013102285,-73.7189946207576,-82.6759876106139,-574.569370874422,-355.442606327762,-160.746739502125,-587.099207433988,-112.467016943,-91.4509678060512,-94.151379836182,-113.010556095466,-48.4559319815458,-72.1057345728305,-137.841967906568
"10",-23.1279947329415,-11.1793784483807,-107.456786664659,-94.871817406115,-368.451231281713,-370.132336071485,-343.305142768223,-57.7200799635594,-51.9631167486833,-91.5496235627696,-102.629049739433,-596.264520539638,-17.2442370558309,-417.277164745541,-88.5263579549923,-83.4683330901364,-67.6668676564138,-16.7704128202076,-68.8457108021161,-65.9735044203182,-19.3149202220432,-259.131413271395,-42.2952252495453,-235.282593003076,-19.8257738515623,-120.628480030518,-95.5051469363071,-506.576139731974,-28.8025276651852,-15.9245742392514,-5.16712311254827,-4.54070334079775,-4.73256482901547,4.44138958155617,-28.6454914918931,-183.393895063581,-86.509540766895,-222.808952671932,-19.8882213242793,-23.3809845084275,-93.211427186961,-659.725783271473,-106.326786577126,-102.332878176536,-51.7053735775126,-208.15616713755,-124.917110237755,-52.6782351137792,-158.399323467826,-84.3461922059664,-681.21970802274,-671.649130545226,-494.503085885355,-77.1123898818831,-70.2184533685529,-121.385671573573,-374.154352643367,-452.40585405029,-193.69654208349,-167.848656190116,-93.0331444705433,-67.4735358254583,-165.931986744267,-151.425166196258,-85.3088718645737,-136.588662478086,-78.4961170881265,-63.5997016180939,-607.25349527584,-563.9854483268,-99.4558670231912,-106.021137918431,-410.832391017473,-414.735285322031,-19.1230822367742,-159.640152529742,-17.5419944143159,-82.2345922621337,-92.2136770933337,-550.762250863841,-342.317879936583,-203.148978258258,-585.751330435918,-100.862161849971,-88.4486541786399,-94.7417237252837,-102.158909143498,-36.5800111895698,-67.9875331147174,-145.126742849061
