"","x"
"1","ROUTPUT"
"2","RCON"
"3","RCONG"
"4","RCONND"
"5","RCOND"
"6","RCONS"
"7","RCONSHH"
"8","RCONSNP"
"9","RINVBF"
"10","RINVRESID"
"11","RINVCHI"
"12","RNX"
"13","REX"
"14","RIMP"
"15","RG"
"16","RGF"
"17","RGSL"
"18","RCONHH"
"19","NOUTPUT"
"20","NCON"
"21","NCONG"
"22","NCONSHH"
"23","NCONSNP"
"24","NCONHH"
"25","WSD"
"26","OLI"
"27","PROPI"
"28","RENTI"
"29","DIV"
"30","PINTI"
"31","TRANR"
"32","SSCONTRIB"
"33","NPI"
"34","PTAX"
"35","NDPI"
"36","PINTPAID"
"37","TRANPF"
"38","NPSAV"
"39","RATESAV"
"40","NCPROFAT"
"41","NCPROFATW"
"42","TRBASA"
"43","NBRBASA"
"44","NBRECBASA"
"45","BASEBASA"
"46","CPI"
"47","P"
"48","PCON"
"49","PCONG"
"50","PCONSHH"
"51","PCONSNP"
"52","PCONHH"
"53","PCONX"
"54","PIMP"
"55","RUC"
"56","OPH"
"57","ULC"
"58","ROUTPUT"
"59","RCON"
"60","RCONG"
"61","RCONND"
"62","RCOND"
"63","RCONS"
"64","RCONSHH"
"65","RCONSNP"
"66","RINVBF"
"67","RINVRESID"
"68","RINVCHI"
"69","RNX"
"70","REX"
"71","RIMP"
"72","RG"
"73","RGF"
"74","RGSL"
"75","RCONHH"
"76","NOUTPUT"
"77","NCON"
"78","NCONG"
"79","NCONSHH"
"80","NCONSNP"
"81","NCONHH"
"82","WSD"
"83","OLI"
"84","PROPI"
"85","RENTI"
"86","DIV"
"87","PINTI"
"88","TRANR"
"89","SSCONTRIB"
"90","NPI"
"91","PTAX"
"92","NDPI"
"93","PINTPAID"
"94","TRANPF"
"95","NPSAV"
"96","RATESAV"
"97","NCPROFAT"
"98","NCPROFATW"
"99","TRBASA"
"100","NBRBASA"
"101","NBRECBASA"
"102","BASEBASA"
"103","CPI"
"104","P"
"105","PCON"
"106","PCONG"
"107","PCONSHH"
"108","PCONSNP"
"109","PCONHH"
"110","PCONX"
"111","PIMP"
"112","RUC"
"113","ROUTPUT"
"114","RCON"
"115","RCONG"
"116","RCONND"
"117","RCOND"
"118","RCONS"
"119","RCONSHH"
"120","RCONSNP"
"121","RINVBF"
"122","RINVRESID"
"123","RINVCHI"
"124","RNX"
"125","REX"
"126","RIMP"
"127","RG"
"128","RGF"
"129","RGSL"
"130","RCONHH"
"131","NOUTPUT"
"132","NCON"
"133","NCONG"
"134","NCONSHH"
"135","NCONSNP"
"136","NCONHH"
"137","WSD"
"138","OLI"
"139","PROPI"
"140","RENTI"
"141","DIV"
"142","PINTI"
"143","TRANR"
"144","SSCONTRIB"
"145","NPI"
"146","PTAX"
"147","NDPI"
"148","PINTPAID"
"149","TRANPF"
"150","NPSAV"
"151","RATESAV"
"152","NCPROFAT"
"153","NCPROFATW"
"154","TRBASA"
"155","NBRBASA"
"156","NBRECBASA"
"157","BASEBASA"
"158","CPI"
"159","P"
"160","PCON"
"161","PCONG"
"162","PCONSHH"
"163","PCONSNP"
"164","PCONHH"
"165","PCONX"
"166","PIMP"
"167","RUC"
"168","OPH"
"169","ULC"
