"","x"
"1","ROUTPUT"
"2","RCON"
"3","RCONG"
"4","RCONND"
"5","RCOND"
"6","RCONS"
"7","RCONSHH"
"8","RCONSNP"
"9","RINVBF"
"10","RINVRESID"
"11","RINVCHI"
"12","RNX"
"13","REX"
"14","RIMP"
"15","RG"
"16","RGF"
"17","RGSL"
"18","RCONHH"
"19","NOUTPUT"
"20","NCON"
"21","NCONG"
"22","NCONSHH"
"23","NCONSNP"
"24","NCONHH"
"25","WSD"
"26","OLI"
"27","PROPI"
"28","RENTI"
"29","DIV"
"30","PINTI"
"31","TRANR"
"32","SSCONTRIB"
"33","NPI"
"34","PTAX"
"35","NDPI"
"36","PINTPAID"
"37","TRANPF"
"38","NPSAV"
"39","RATESAV"
"40","NCPROFAT"
"41","NCPROFATW"
"42","RCONM"
"43","RCONGM"
"44","RCONDM"
"45","RCONNDM"
"46","RCONSM"
"47","RCONSHHM"
"48","RCONSNPM"
"49","RCONHHM"
"50","NCONGM"
"51","NCONSHHM"
"52","NCONSNPM"
"53","NCONHHM"
"54","PCONGM"
"55","PCONSHHM"
"56","PCONSNPM"
"57","PCONHHM"
"58","TRBASA"
"59","NBRBASA"
"60","NBRECBASA"
"61","BASEBASA"
"62","CPI"
"63","PCPI"
"64","PCPIX"
"65","PPPI"
"66","PPPIX"
"67","P"
"68","PCON"
"69","PCONG"
"70","PCONSHH"
"71","PCONSNP"
"72","PCONHH"
"73","PCONX"
"74","PIMP"
"75","POP"
"76","LFC"
"77","LFPART"
"78","RUC"
"79","EMPLOY"
"80","H"
"81","HG"
"82","HS"
"83","OPH"
"84","ULC"
"85","IPT"
"86","IPM"
"87","CUT"
"88","CUM"
"89","HSTARTS"
